SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,LineCode,Description,2024
30000,Montana,5,"  RPPs: Services: Other",98.715
31000,Nebraska,1,RPPs: All items,90.103
31000,Nebraska,2,"  RPPs: Goods",94.101
31000,Nebraska,3,"  RPPs: Services: Housing",75.174
31000,Nebraska,4,"  RPPs: Services: Utilities",75.604
31000,Nebraska,5,"  RPPs: Services: Other",92.980
32000,Nevada,1,RPPs: All items,99.979
32000,Nevada,2,"  RPPs: Goods",96.271
32000,Nevada,3,"  RPPs: Services: Housing",114.135
32000,Nevada,4,"  RPPs: Services: Utilities",90.510
32000,Nevada,5,"  RPPs: Services: Other",98.744
33000,New Hampshire,1,RPPs: All items,104.165
33000,New Hampshire,2,"  RPPs: Goods",98.578
33000,New Hampshire,3,"  RPPs: Services: Housing",114.947
33000,New Hampshire,4,"  RPPs: Services: Utilities",133.663
33000,New Hampshire,5,"  RPPs: Services: Other",103.879
34000,New Jersey,1,RPPs: All items,108.805
34000,New Jersey,2,"  RPPs: Goods",107.066
34000,New Jersey,3,"  RPPs: Services: Housing",134.292
34000,New Jersey,4,"  RPPs: Services: Utilities",114.187
34000,New Jersey,5,"  RPPs: Services: Other",103.529
35000,New Mexico,1,RPPs: All items,92.212
35000,New Mexico,2,"  RPPs: Goods",96.144
35000,New Mexico,3,"  RPPs: Services: Housing",73.611
35000,New Mexico,4,"  RPPs: Services: Utilities",77.895
35000,New Mexico,5,"  RPPs: Services: Other",98.540
36000,New York,1,RPPs: All items,107.921
36000,New York,2,"  RPPs: Goods",107.254
36000,New York,3,"  RPPs: Services: Housing",122.168
36000,New York,4,"  RPPs: Services: Utilities",134.370
36000,New York,5,"  RPPs: Services: Other",104.067
37000,North Carolina,1,RPPs: All items,94.326
37000,North Carolina,2,"  RPPs: Goods",96.621
37000,North Carolina,3,"  RPPs: Services: Housing",81.364
37000,North Carolina,4,"  RPPs: Services: Utilities",88.619
37000,North Carolina,5,"  RPPs: Services: Other",98.186
38000,North Dakota,1,RPPs: All items,88.959
38000,North Dakota,2,"  RPPs: Goods",95.701
38000,North Dakota,3,"  RPPs: Services: Housing",71.421
38000,North Dakota,4,"  RPPs: Services: Utilities",73.669
38000,North Dakota,5,"  RPPs: Services: Other",91.158
39000,Ohio,1,RPPs: All items,92.774
39000,Ohio,2,"  RPPs: Goods",93.670
39000,Ohio,3,"  RPPs: Services: Housing",73.012
39000,Ohio,4,"  RPPs: Services: Utilities",95.823
39000,Ohio,5,"  RPPs: Services: Other",98.947
40000,Oklahoma,1,RPPs: All items,87.843
40000,Oklahoma,2,"  RPPs: Goods",93.778
40000,Oklahoma,3,"  RPPs: Services: Housing",62.763
40000,Oklahoma,4,"  RPPs: Services: Utilities",73.882
40000,Oklahoma,5,"  RPPs: Services: Other",95.458
41000,Oregon,1,RPPs: All items,103.361
41000,Oregon,2,"  RPPs: Goods",105.261
41000,Oregon,3,"  RPPs: Services: Housing",108.628
41000,Oregon,4,"  RPPs: Services: Utilities",107.046
41000,Oregon,5,"  RPPs: Services: Other",100.298
42000,Pennsylvania,1,RPPs: All items,97.572
42000,Pennsylvania,2,"  RPPs: Goods",99.357
42000,Pennsylvania,3,"  RPPs: Services: Housing",85.068
42000,Pennsylvania,4,"  RPPs: Services: Utilities",109.321
42000,Pennsylvania,5,"  RPPs: Services: Other",99.762
44000,Rhode Island,1,RPPs: All items,102.280
44000,Rhode Island,2,"  RPPs: Goods",97.165
44000,Rhode Island,3,"  RPPs: Services: Housing",105.620
44000,Rhode Island,4,"  RPPs: Services: Utilities",146.653
44000,Rhode Island,5,"  RPPs: Services: Other",102.840
45000,South Carolina,1,RPPs: All items,93.749
45000,South Carolina,2,"  RPPs: Goods",96.339
45000,South Carolina,3,"  RPPs: Services: Housing",80.490
45000,South Carolina,4,"  RPPs: Services: Utilities",88.303
45000,South Carolina,5,"  RPPs: Services: Other",98.284
46000,South Dakota,1,RPPs: All items,88.586
46000,South Dakota,2,"  RPPs: Goods",95.473
46000,South Dakota,3,"  RPPs: Services: Housing",67.642
46000,South Dakota,4,"  RPPs: Services: Utilities",79.651
46000,South Dakota,5,"  RPPs: Services: Other",91.899
47000,Tennessee,1,RPPs: All items,91.870
47000,Tennessee,2,"  RPPs: Goods",96.247
47000,Tennessee,3,"  RPPs: Services: Housing",79.070
47000,Tennessee,4,"  RPPs: Services: Utilities",72.137
47000,Tennessee,5,"  RPPs: Services: Other",95.142
48000,Texas,1,RPPs: All items,97.057
48000,Texas,2,"  RPPs: Goods",98.083
48000,Texas,3,"  RPPs: Services: Housing",96.503
48000,Texas,4,"  RPPs: Services: Utilities",87.512
48000,Texas,5,"  RPPs: Services: Other",97.081
49000,Utah,1,RPPs: All items,98.864
